specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,baseline_temp,correction,s_tensor,aniso_type,NLT_beta
AL2360-1b,AL2360-1,1991-1992 Eruption Site,1.48e-07,8.23680802197224e-08,4.502100701373869e-08,-1.2505065765151453e-07,6.511099713867544e-08,1.0898963492860699e-08,1.2016514544332287e-09,8.163497576189983e-08,,,2.5e-05,ZI,673.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,1.31e-07,9.614388727080324e-08,4.71420588055797e-08,-1.0538739241414876e-07,6.190415019784606e-08,-1.9847454181806707e-08,-3.2769833925059528e-09,9.401588696538072e-08,,,2.5e-05,ZI,698.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,9.26e-08,1.2495111386418156e-07,2.506363421588022e-08,-7.668228530331323e-08,4.545768758476203e-08,2.1577014187393602e-08,2.0702440400500666e-08,1.2132032919556557e-07,,,2.5e-05,ZI,723.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,3.14e-08,1.6502091930436713e-07,7.2346128875619405e-09,-2.556657992011298e-08,1.6732315068620923e-08,1.707879309298562e-09,-1.793009357958255e-09,1.6500233960088443e-07,,,2.5e-05,ZI,748.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,6.9499999999999985e-09,1.977210763913595e-07,5.362858279949362e-09,-2.7325127756661196e-09,3.474999999999999e-09,-1.060317007700039e-08,-1.1274438242516847e-10,1.974365318839962e-07,,,2.5e-05,ZI,773.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.48e-07,7.872000193574022e-09,7.28147719102846e-08,-2.1146945263733273e-07,1.0715726570289161e-07,4.5120717104264915e-09,1.1908352983614372e-09,6.339677217317521e-09,,,2.5e-05,P,373.0,423.0,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.45e-07,8.387522377159457e-09,6.793337865812829e-08,-2.1158770029684246e-07,1.0315377427503529e-07,1.4200556608907698e-09,3.0952899173298838e-09,7.665060591736941e-09,,,2.5e-05,P,423.0,473.0,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.41e-07,1.5437094281997423e-08,6.49004539800964e-08,-2.096594914134677e-07,9.955816758771456e-08,-6.796986888645882e-09,-4.578346826243963e-09,1.3082185958221025e-08,,,2.5e-05,P,473.0,523.0,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.2900000000000003e-07,2.1626551012833097e-08,6.975737440315671e-08,-1.9270261941897966e-07,1.0217929920214622e-07,-7.259917672693459e-09,-2.4190556225110416e-09,2.0227443585178606e-08,,,2.5e-05,P,523.0,573.0,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.05e-07,4.185719952916901e-08,5.97684229784264e-08,-1.7260090738019747e-07,9.306805244660708e-08,6.9999808204531916e-09,3.4416281248168466e-09,4.112396645252526e-08,,,2.5e-05,P,573.0,623.0,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,1.71e-07,6.638932440033156e-08,5.3160214999547406e-08,-1.4448523337269086e-07,7.442451799266801e-08,1.0749072218412114e-09,-5.845785587459251e-09,6.612271742496937e-08,,,2.5e-05,P,623.0,673.0,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,1.48e-07,7.274023544250257e-08,4.502100701373869e-08,-1.2505065765151453e-07,6.511099713867544e-08,8.329255299471569e-09,4.413450998351307e-09,7.212687993163217e-08,,,2.5e-05,P,673.0,723.0,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,9.26e-08,1.1992030504754798e-07,2.506363421588022e-08,-7.668228530331323e-08,4.545768758476203e-08,1.611078452020074e-08,9.052549544467233e-09,1.1848786238085987e-07,,,2.5e-05,P,723.0,773.0,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.67e-07,0.0,-1.5293917492417596e-08,1.648634246048014e-07,-2.1797874100748614e-08,0.0,0.0,0.0,,0.0,2.5e-05,ZI,273.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.66e-07,8.924393743366513e-09,-2.730577402452281e-08,1.631728713590054e-07,-1.3601792432586795e-08,7.972521521243794e-09,1.4032633578372255e-09,3.756934418977165e-09,,,2.5e-05,ZI,373.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.64e-07,1.4393878333881917e-08,-2.30457455090984e-08,1.6192784796821127e-07,-1.2011064328931598e-08,1.4015894713085972e-08,-4.1713394636543627e-10,3.2502966253980013e-09,,,2.5e-05,ZI,423.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.57e-07,9.62415120532037e-09,-1.9887646998536184e-08,1.5524737179909484e-07,-1.2318078029271655e-08,7.570742066602559e-10,5.586403835278988e-10,9.578050218618144e-09,,,2.5e-05,ZI,473.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.56e-07,1.089796164453122e-08,-1.6808884452714667e-08,1.5472841085693284e-07,-1.0610385343778713e-08,5.6775092896256144e-09,-3.1479236663620965e-09,8.753401216821144e-09,,,2.5e-05,ZI,498.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.48e-07,1.8203803972814765e-08,-1.3630555568884917e-08,1.4693292751621805e-07,-1.135441616276916e-08,-1.1046062869172871e-08,-4.0705441835130455e-09,1.3885015096175269e-08,,,2.5e-05,ZI,523.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.4e-07,1.7329125641913572e-08,-1.894160892641806e-08,1.3827711737345044e-07,-1.0984273401898292e-08,7.558417966368714e-09,1.79316381006801e-10,1.5592843197903444e-08,,,2.5e-05,ZI,548.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.33e-07,2.5948317426480695e-08,-2.096429029940905e-08,1.3088443763708103e-07,-1.0897821647795444e-08,9.422708778749906e-09,-4.063807057037766e-09,2.3833027687212578e-08,,,2.5e-05,ZI,573.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.2099999999999998e-07,2.8306789446828927e-08,-1.6792543018940027e-08,1.1948515215880026e-07,-9.07242594598565e-09,5.323145431244489e-09,-2.51118675365892e-09,2.7688127285773127e-08,,,2.5e-05,ZI,598.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.13e-07,3.3298630432721466e-08,-8.634929183936827e-09,1.1222091987266911e-07,-1.0045055545907891e-08,9.226002093210897e-09,6.646587950189994e-10,3.198809001421054e-08,,,2.5e-05,ZI,623.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.05e-07,4.208934295691943e-08,-6.166566842639032e-09,1.0379512778659338e-07,-1.4613175600806871e-08,-5.43486971937721e-09,-1.970625903903909e-09,4.169042594200067e-08,,,2.5e-05,ZI,648.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.0200000000000001e-07,4.821517132655284e-08,6.1893824580518415e-24,1.0108028637091331e-07,-1.366659091266579e-08,3.3891458405773817e-10,-3.988804306556983e-09,4.8048697413744197e-08,,,2.5e-05,ZI,673.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,8.83e-08,5.519860307055562e-08,6.113110116372836e-10,8.75624297517786e-08,-1.1372651177798795e-08,-1.6743697399626406e-10,-2.7895078186645115e-09,5.5127818675602436e-08,,,2.5e-05,ZI,698.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,5.92e-08,7.373947578032066e-08,-3.7354376669536115e-09,5.7764113664171306e-08,-1.2409418923906251e-08,4.415413147115243e-09,-2.1101325824168343e-09,7.357691047863726e-08,,,2.5e-05,ZI,723.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,2.29e-08,1.1247140144457733e-07,4.971028709202698e-10,2.1905391379790458e-08,-6.657080233399981e-09,4.558474288309447e-09,-5.369343590575535e-09,1.1225064188892836e-07,,,2.5e-05,ZI,748.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,5.789999999999999e-09,1.2335071350600387e-07,-7.15517034608213e-10,5.663900538491529e-09,-9.65591043486232e-10,3.499390293349627e-09,1.0795346501952768e-08,1.228275754214738e-07,,,2.5e-05,ZI,773.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,5.41e-09,1.2694683095008776e-07,-5.403244923424515e-09,2.642627641047187e-10,-5.6652352068889734e-11,1.090055135292271e-09,1.9353249420955656e-08,1.2545820580943465e-07,,,2.5e-05,ZI,798.0,,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.64e-07,7.839333902498744e-09,-2.30457455090984e-08,1.6192784796821127e-07,-1.2011064328931598e-08,3.931475509617942e-09,1.8382096402337011e-09,6.528372053635763e-09,,,2.5e-05,P,423.0,473.0,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.57e-07,6.620959089377332e-09,-1.9887646998536184e-08,1.5524737179909484e-07,-1.2318078029271655e-08,7.495393078594393e-10,-2.6039704012118037e-09,6.041078400318501e-09,,,2.5e-05,P,473.0,523.0,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.48e-07,1.528144159111354e-08,-1.3630555568884917e-08,1.4693292751621805e-07,-1.135441616276916e-08,4.5520380885802536e-09,-9.680839535219018e-10,1.4555556320582967e-08,,,2.5e-05,P,523.0,573.0,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.33e-07,2.1563543525462822e-08,-2.096429029940905e-08,1.3088443763708103e-07,-1.0897821647795444e-08,4.939271681779574e-09,-8.167330124937096e-10,2.097434031893263e-08,,,2.5e-05,P,573.0,623.0,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.13e-07,3.37006287138969e-08,-8.634929183936827e-09,1.1222091987266911e-07,-1.0045055545907891e-08,3.4565187622795193e-09,-2.0985396171265744e-09,3.345715148116008e-08,,,2.5e-05,P,623.0,673.0,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,1.0200000000000001e-07,4.3991426360237934e-08,6.1893824580518415e-24,1.0108028637091331e-07,-1.366659091266579e-08,-1.0230915839482754e-09,1.378842298250518e-09,4.395790794311811e-08,,,2.5e-05,P,673.0,723.0,1,,,
AL2360-1c,AL2360-1,1991-1992 Eruption Site,5.92e-08,7.679926281481845e-08,-3.7354376669536115e-09,5.7764113664171306e-08,-1.2409418923906251e-08,1.8383038430053032e-09,8.92801628852907e-09,7.625639601392206e-08,,,2.5e-05,P,723.0,773.0,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,2.32e-07,0.0,1.2694828626008148e-07,-1.5676807772957233e-07,1.145945130475416e-07,0.0,0.0,0.0,,0.0,2.5e-05,ZI,273.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,2.3e-07,0.0,1.1429543275229645e-07,-1.6506356734565587e-07,1.1220772160190852e-07,0.0,0.0,0.0,,0.0,2.5e-05,ZI,373.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,2.2900000000000003e-07,2.653216848223156e-09,1.2589489830360782e-07,-1.560232578106124e-07,1.1067166576539553e-07,-1.9709700957570042e-09,-3.2982727824538425e-10,1.7452938124717241e-09,,,2.5e-05,ZI,423.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,2.1800000000000002e-07,8.855307872270447e-09,1.1935696313761562e-07,-1.4845012281287587e-07,1.0602111293232094e-07,2.3556336421415166e-09,8.009362989812304e-10,8.498586276650975e-09,,,2.5e-05,ZI,473.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,2.1100000000000002e-07,1.4560610702013952e-08,1.1894426867120822e-07,-1.4225574923082528e-07,1.0068049841477739e-07,-2.5974039839225836e-09,-1.9345008044344037e-09,1.4195865003498342e-08,,,2.5e-05,ZI,498.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,2.05e-07,1.991186089566926e-08,1.1528798891672941e-07,-1.3594293034074616e-07,1.0125808264976735e-07,-3.210900075297115e-09,-5.019507012682015e-10,1.9644856083169353e-08,,,2.5e-05,ZI,523.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,1.94e-07,2.3518227614546523e-08,1.0412859690443834e-07,-1.337590724637752e-07,9.434906380215715e-08,1.1145039690464815e-09,1.894716556851171e-11,2.349179754802759e-08,,,2.5e-05,ZI,548.0,,1,,,
