tab 	samples
citations	geologic_classes	geologic_types	lat	lithologies	lithology	lon	method_codes	result_quality	result_type	sample	site
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1hx	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1i	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1kx	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1mx	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1my	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1nx	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1o	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1q	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1ry	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1s	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm2ay	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm2by	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm2dy	VM
This study										ET1	ET1
This study										ET2	ET2
This study										ET3	ET3
This study										LV	LV
This study										MSH	MSH
										Synthetic60	Synthetic60
This study	Igneous:Extrusive	Lava Flow		Basalt	Basalt:Trachyte:Andesite		LP-PI-BT-IZZI	g	i	FreshTRM	FreshTRM
