tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	experiments	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_corr_aniso	int_k	int_k_max	int_k_min	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	result_type	sample	size	software_packages	specimen
														This study															Kelvin		g		ET3		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET3_150B
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV10D3A
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV11A2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV12A2A
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV12D1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV12E2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV14C3A
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV15B1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV16A2B
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV16B1B
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV17A1A
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV18B3
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV19A2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV19B1A
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV19C1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV19D3
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV19E1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV19F2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV19G2B
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV20B1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV20C2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV21A2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV21B1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV21C1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV22D1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV23A2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV25C3
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV26D2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV27B2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV28E3A
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV29B2A
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV30A3A
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV30B2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV30D1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV3B3
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV4A3
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV4C3
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV6A2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV6C3A
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV6D1B
