tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	number	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Bowles	10.1029/2005GC001141			290.2	25.8	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.71e-07		273.0	25	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	69		AL2360-1b	u			0.0	0.0	0.0		623.0
Bowles	10.1029/2005GC001141			293.1	37.0	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.92e-07		273.0	26	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	70		AL2360-1b	u			2.5e-05	0.0	90.0		573.0
Bowles	10.1029/2005GC001141			292.6	41.1	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.0199999999999998e-07		273.0	27	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	71		AL2360-1b	u			2.5e-05	0.0	90.0		623.0
Bowles	10.1029/2005GC001141			292.3	26.9	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.6100000000000005e-07		273.0	28	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	72		AL2360-1b	u			0.0	0.0	0.0		648.0
Bowles	10.1029/2005GC001141			292.4	44.0	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.98e-07		273.0	29	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	73		AL2360-1b	u			2.5e-05	0.0	90.0		648.0
Bowles	10.1029/2005GC001141			289.8	26.1	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.48e-07		273.0	30	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	74		AL2360-1b	u			0.0	0.0	0.0		673.0
Bowles	10.1029/2005GC001141			289.4	43.4	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.91e-07		273.0	31	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	75		AL2360-1b	u			2.5e-05	0.0	90.0		623.0
Bowles	10.1029/2005GC001141			294.3	47.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2e-07		273.0	32	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	76		AL2360-1b	u			2.5e-05	0.0	90.0		673.0
Bowles	10.1029/2005GC001141			294.1	28.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.31e-07		273.0	33	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	77		AL2360-1b	u			0.0	0.0	0.0		698.0
Bowles	10.1029/2005GC001141			284.1	54.3	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.92e-07		273.0	34	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	78		AL2360-1b	u			2.5e-05	0.0	90.0		698.0
Bowles	10.1029/2005GC001141			288.1	29.4	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		9.26e-08		273.0	35	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	79		AL2360-1b	u			0.0	0.0	0.0		723.0
Bowles	10.1029/2005GC001141			294.8	55.9	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.42e-07		273.0	36	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	80		AL2360-1b	u			2.5e-05	0.0	90.0		673.0
Bowles	10.1029/2005GC001141			309.8	66.4	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.82e-07		273.0	37	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	81		AL2360-1b	u			2.5e-05	0.0	90.0		723.0
Bowles	10.1029/2005GC001141			285.8	32.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		3.14e-08		273.0	38	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	82		AL2360-1b	u			0.0	0.0	0.0		748.0
Bowles	10.1029/2005GC001141			288.1	81.0	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.8399999999999998e-07		273.0	39	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	83		AL2360-1b	u			2.5e-05	0.0	90.0		748.0
Bowles	10.1029/2005GC001141			333.0	30.0	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		6.9499999999999985e-09		273.0	40	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	84		AL2360-1b	u			0.0	0.0	0.0		773.0
Bowles	10.1029/2005GC001141			16.4	79.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.24e-07		273.0	41	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	85		AL2360-1b	u			2.5e-05	0.0	90.0		723.0
